Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C15,C16,C22,C23,C24,C29,C30,C39,C8,C9",C_0402_1005Metric,C307331,10
10.5k,R1,R_0402_1005Metric,C25850,1
100,R8,R_0402_1005Metric,C25076,1
100k,"R12,R17,R18",R_0402_1005Metric,C25741,3
10k,R11,R_0402_1005Metric,C25744,1
10u,"C1,C17,C18,C19,C2,C20,C21,C25,C26,C5,C6,C7",C_0805_2012Metric,C440198,12
12V,"D2,D3",D_SOD-523,C2993013,2
18p,"C32,C33",C_0402_1005Metric,C1549,2
1k,R15,R_0402_1005Metric,C11702,1
1n,"C12,C13,C14",C_0402_1005Metric,C1523,3
1u,"C27,C28,C31,C35,C36,C37",C_0402_1005Metric,C52923,6
2,"R13,R4",R_0402_1005Metric,C270630,2
2.2M,R5,R_0402_1005Metric,C11490,1
220p,"C34,C38",C_0402_1005Metric,C1530,2
30.31k,R3,R_0402_1005Metric,C29402,1
32.768 kHz,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,C276423,1
330,"R10,R9",R_0402_1005Metric,C25104,2
4.7k,"R16,R6,R7",R_0402_1005Metric,C25900,3
4.7u,C10,C_0603_1608Metric,C19666,1
4.7u,C11,C_0402_1005Metric,C23733,1
47n,"C3,C4",C_0603_1608Metric,C1622,2
5.24k,R2,R_0402_1005Metric,C25907,1
5.6V,D10,D_SOD-523,C19077464,1
680k,R14,R_0402_1005Metric,C4131,1
APFA3010LSEEZGKQBKC,D1,LED_Kingbright_APFA3010_3x1.5mm_Horizontal,C5393554,1
APH0630T1R0M,L1,L_APV_APH0630,C5349700,1
ATtiny3226-M,U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C3216895,1
BAS16TW,D5,SOT-363_SC-70-6,C155382,1
BAT43XV2,D4,D_SOD-523,C463439,1
BQ25792RQMR,U1,QFN40P400X400X100-29N,C2862876,1
CSD17581Q3A,"Q1,Q2,Q3,Q4",VSON-8_3.3x3.3mm_TI_CSD,C2861705,4
CSD25402Q3A,Q5,VSON-8_3.3x3.3mm_TI_CSD,C111356,1
Conn_01x03,"J1,J3,J4",TE_1-2307727-3,C3322456,3
DESD5V0U1BL-7B,"D6,D7,D8,D9",DESD5V0U1BL7B,C1869323,4
FUSB302BMPX,U7,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,C132291,1
GT-USB-7055AB,J5,CONN_GT-USB-7055A_GSW,C22383826,1
LP5815DRLR,U5,SOTFL50P160X60-8N,C47262831,1
MountingHole_Pad,"H1,H2",Wuerth_9774030151_HS,C5373032,2
RT9058-33GV,U4,SOT-23-3,C147968,1
SW_Push,SW1,SW_SPST_TS-1088-xR020,C720477,1
TLV9301xDCK,U3,SOT-353_SC-70-5,C4366617,1
